045,POP Quiz with Cazzie David,06/18/2017,Cazzie David,1989,"Sweet Martha's, Dutch Wendy's, Seinfeld trivia, and clubbing."
046,The Dorito Effect,07/02/2017,"Mark Schatzker
Kenny Tulecki",Billboard's top 10,"Roger Waters, Doritos, ""Mask Off""."
047,Live Concerts and TV Jingles,07/16/2017,"Jimmy Harned
Jerry Cronin",1983,"""$5 Foot Long"" jingle, 8 Minute Cape Cod, and Jake bonding with his fictional son's ex-boyfriend."
048,"Jerrod, Steve & RJ",07/30/2017,"Jerrod Carmichael
Steve Horelick
RJ Ritchie",1991,"The Grateful Dead, Reading Rainbow theme song, Game of Thrones, working at the Genius Bar, Led Zeppelin, and grouchy David Crosby."
049,Vermont's Finest,08/13/2017,"Martha Rossini Olson
Chris Tomson",1979,"Sweet Martha, Phish, Ben & Jerry's, grape ice cream, and fake baseball."
050,The Full Crisis Crew,08/27/2017,Jake Longstreth,Billboard's top 10,"Eclipse watching, minimalistic travel, Ed Sheeran's ""Shape of You"" breaking down the sweet and the sour."
051,Zachary Fox,09/10/2017,Zack Fox,1980,"Zack Fox's morning routine, Taylor Swift's weak Kanye diss track, and celebrities' role in politics."
052,Surprise! It's James Corden,09/24/2017,James Corden,1976,"Tone, touch, and lyricism; Madison Rising, boy bands, and The Wizard of Oz starring Taylor Swift and Cardi B."
053,Tribute to Tom Petty,10/08/2017,Josh Eells,1981,"Jake's Wedding! Playlist, gun violence, and a ""Free Fallin"" deep dive."
054,Eminem & The Tragically Hip,10/22/2017,—,1978,"Amazon/Whole Foods merger, Gord Downie, The Monsanto Years, and awfully hot coffee pot."
055,Tim Heidecker and Portugal. The Man,11/05/2017,"John Gourley
Tim Heidecker",—,"The World Series, Austin Whole Foods, the year 2004, and politics."
056,Grateful T-shirts,11/19/2017,Mordechai Rubinstein,1979,"Grateful Dead t-shirts, posers, the palette of the 1970s, natural phenomena in songs, and Ed Sheeran's ""Perfect""."
057,Cazzie David & Grammy Nominees,12/03/2017,"Gigi Sohn
Cazzie David","2017 GRAMMY nominations for Best New Artist, Record of the Year, Song of the Year","Thanksgiving, net neutrality, and GRAMMY nominations."
058,A Charli XCX Christmas,12/17/2017,"Winter
Charli XCX",1971,"Starbucking, ""Perfect Duet"", Christmas, and taking risks."
059,Sandwich Math,01/14/2018,Jeff Weiss,1978,"Corporate social media humor, Tim Hortons, homemade five dollar foot longs, and Cardi B."
060,Sublime Goldfish,01/28/2018,Carson Mell,1987,"Goldfish and hummus, Sublime, Jake's Guide to the Dead, and Extra gum."
061,Dystopian Diet Coke,02/11/2018,—,1977,"GRAMMYs, Super Bowl, ""Diet Coke. Because I can."", and ""Maggie May""."
062,Lady Doritos Town Hall,02/25/2018,"Chloe Wise
Rashida Jones
Hannah Fidell
Scott Rogowsky",—,"New age music, McDonald's, ""Lady Doritos"" and female consumerism, HG and the Dead, and ""God's Plan""."
063,The Two-Fridge Vibe[15],03/11/2018,Kyle (fan),2018 top ten,"The Oscars, Peter Rabbit, long distance relationships, international Diet Coke ads, and Lonnie's Dad."
064,It Wasn't Baio,03/25/2018,Chris Baio,1972,"""Seven Nation Army"" remixes, the music of Oklahoma, the Shaggy/Sting collab, and a '90s sitcom Avengers crossover."
065,Life Hacks with T-Pain,04/08/2018,T-Pain,1985,"Alanis Morissette's ""Ironic"", Wendy's mixtape and menu hacks, and Phil Collins' ""One More Night""."
066,Juice Island,04/22/2018,Despot,1977,"Kiefer Sutherland's music career, parody law, steroid-enhanced athletic competition, and the Eagles."
067,"Dev, Dave, Ariel, Despot",05/06/2018,"Dev Hynes
Dave Longstreth
Ariel Rechtshaid
Despot
Jimothy Lacoste
Steven Hyden",1996,"Alanis Morissette, Radiohead, Austin Powers, and lemurs."
068,Sweet Chili Heat,05/20/2018,"Phil Matarese
Chris Baio",1969,"Travel, Pavement, Tic Tacs, Doritos, and novelty songs."
069,OMG It's Alanis Morissette,06/03/2018,Alanis Morissette,1974,"Jake's ""Sweet Chili Heat"", Jagged Little Pill, and Vampire Weekend tour preparations."
070,Live From Ojai,06/17/2018,"Richard Pictures
Despot
iLoveMakonnen
Chris Tomson
Chris Baio",—,"Dead & Company, IHOB, Punisher Burgers, and backstage with Vampire Weekend."
071,Dear Nora & Summer Hits,07/01/2018,Katy Davidson,Songs of the Summer,"Vampire Weekend, Dear Nora, stealing from Walmart, and ""California Girls""."
072,Dave Longstreth,07/15/2018,"Winter
Dave Longstreth
Murk",1964,"Dead & Company, ""Matty Groves"", and an ""I Get Around"" deep dive."
073,’77 vs ‘84,07/29/2018,Martha Rossini Olson,"1984
1977","Ambitious freighting, Droga5, and Ghostbusters."
074,This Show Rules,08/12/2018,"Tim Carman
Brent Wolczynski",1999,"""A-Punk"", cold brew coffee, and Time Crisis' greatest hits."
075,Cazzie David Returns,08/26/2018,Cazzie David,Songs of the Summer,"Gum, frosted flakes, Supreme, Drake, and Katy Perry."
076,Seinfeld2000's Origin Story,09/09/2018,—,1977,"Gas station attendants, John Mayer, James Taylor, and Eminem."
077,Classic Rock Icons,09/23/2018,—,1982,"45 minute ""Playing In the Band"", canoe portaging, Jim Morrison, Paul McCartney, and Steve Miller."
078,Welcome To My Life,10/07/2018,—,1968,"Dunkin', Steak-umm, The Doors, ""Hey Dude"", and ""Shallow"". First Patrickworld track."
079,A Star Is Born 2: Armageddon,10/21/2018,Mac McCann,1983,"A Star Is Born merch, brand Twitter, and power ballads."
080,Jason Mantzoukas & Hannah Fidell,11/04/2018,"Jason Mantzoukas
Hannah Fidell",1985,"Richard Pictures, Jokerman and '80s Dylan, and the ASIBU."
081,Be Grateful,11/18/2018,—,1991,"Sleep shirts, Mexico, Beto O'Rourke, Prince, and being grateful."
082,Jokerman,12/02/2018,"Vic Berger
Andrew Smith",1995,"Cryptocurrency, General Mills, Conagra, and Jokerman."
083,Baio and the Hot Sauce Challenge,12/16/2018,Chris Baio,Apple Music Christmas vs. Billboard 2018,Spicy foods and Bruce Springsteen.
084,Jamflowman,01/13/2019,—,1999,"Aging millennials, ""Jamflowman"" deep dive, and the hits of 1999."
085,"""Harmony Hall"" / ""2021""",01/27/2019,"Ariel Rechtshaid
Mihali Savoulidis
Seinfeld2000",2013,"New Vampire Weekend tracks, the Twiddle frontman discusses ""Jamflowman"", Seinfeld calls from Japan."
086,The Grammys,02/10/2019,—,1959,"Jake and Ezra talk Maroon 5's Super Bowl show, the GRAMMYs, and the hits of 1959."
087,Despot Returns,02/24/2019,Despot,1946,"Vampire Weekend's 2019 tour, ""Harmony Hall"" music video deep dive, and three US Presidents in a big egg."
088,No Country for Jamflowman,03/10/2019,—,1985,"Ariana Grande and Starbucks, Bebe Rexha and Lays, jam bands, and new Vampire Weekend singles."
089,Winter Returns,03/24/2019,Winter,1977 vs. 1984,"MTV Unplugged, Starbucks news, Imagine Dragons, and economic classes in the Top Five."
090,Unbearably Buff,04/07/2019,—,1969,"Grateful Dead live tracks, newest Vampire Weekend tracks, and Christian music in the Top Five."
091,With Bardo Martinez,04/21/2019,Bardo Martinez,1973,"Japan, Sonic the Hedgehog curry, the Skull & Roses festival, and Panda Express."
092,Father of the Bride,05/05/2019,Ariel Rechtshaid,—,Production deep dive on the new Vampire Weekend album.
093,Live from NYC,05/19/2019,"Brandon Wardell
Jaboukie Young-White
Brendan O'Hare
Brian Koppelman
Tom Scharpling
Clare O'Kane
Brian Jones
Despot
Alana Haim
Ariel Rechtshaid",—,In New York for Vampire Weekend's three-set album release show.
094,Scott Aukerman and Adam Scott,06/02/2019,"Scott Aukerman
Adam Scott",1991,R U Talkin' R.E.M. RE: ME? crossover.
095,The Mailbag,06/16/2019,—,—,Jake and Ezra dive into the Mail Bag to read listener emails.
096,Live from Chicago,06/30/2019,"Brendan Kelly
Max Weidenfeld",—,"A run-down of Vampire Weekend's Father's Day show, plus Mountain Brews and Nihilist Arby's."
097,TC AMA,07/14/2019,—,—,Jake and Ezra answer questions posed by listeners on Twitter.
098,Rock Beefs,08/11/2019,—,—,Rock beefs and cloning.
099,Conspiracy Theories with Mark Foster,08/18/2019,Mark Foster,1999,"Political conspiracy theories & LFO's ""Summer Girls"" analysis."
100,Episode 100,09/08/2019,"Winter
Mordechai Rubinstein
Cousin Asher
Despot
Ariel Rechtshaid
Fans",—,"Radiohead, Vampire Weekend at Madison Square Garden, and 100 years of Time Crisis."
101,Hella Mega Flaming Hot,09/22/2019,—,1992,"Fall Out Boy, Brian Wilson, the Flamin' Hot Cheetos movie, and Shawn Mendes vs. Justin Bieber."
102,With Justin Vernon,10/06/2019,"Jake Longstreth
Justin Vernon",Top artists from Wisconsin & New Jersey,"Bon Iver's Justin Vernon talks Wisconsin, jam bands, and touring."
103,With Huey Lewis,10/20/2019,Huey Lewis,1985,Huey Lewis details his life and career.
104,Rise and Shine with Cazzie David,11/03/2019,Cazzie David,—,"Mexico, nausea, Billy Joel, the MCU, Kylie Jenner, and popcorn and raisins."
105,"Bernie, Beto and Bob",11/17/2019,—,1972,"Democratic candidates for 2020, Trump's children's desire to be cool, and guzzling down martinis."
106,Gratefulsgiving with Hannah Fidell and Kyle Field,12/01/2019,"Hannah Fidell
Kyle Field",—,"Olive Garden, Gratefulsgiving, changing seasons, and the Dead's Robert Hunter."
107,"Grammys, Garcia and Goose",12/15/2019,Steven Hyden,Most Streamed Songs of 2019,"Jerry Garcia memorabilia, jam bands, Jet, and the fall of Seinfeld2000."
108,Happy New Year,01/19/2020,"Chris Kaskie
Amy Brown",2006,"Working on New Year's, Pitchfork's Jet review, Wendy's Twitter, and Bieber's ""Yummy""."
109,Breaking Down the Grammys,02/02/2020,Seinfeld2000,1993 & 1967,"Being high, the GRAMMYs, and Super Bowl commercials."
110,What About Vampire?,02/16/2020,—,1988,"VW at the Bernie rally, Ferrero vs. Ferrara, ""Sweet Chili Heat"", and Billie Joe Armstrong."
111,Time To Make The Donuts,03/01/2020,"Megan Coyne
Pearl Gabel",1978,"Goose at the Troubadour, Butterfinger, Krispy Kreme vs. Dunkin', Fred the Baker, and @NJGov."
112,FaceTime Crisis,03/15/2020,—,—,"Life during COVID-19, Vietnam vets in the woods, and Gaga vs. Madonna."
113,Imagine What About Vampire,03/22/2020,—,—,"Home Depot, the celebrity ""Imagine"" video, and Kenny Rogers' chicken chain."
114,A TC Hangout,03/29/2020,"Winter
Cazzie David
Larry David
Tim Heidecker",—,The Crew talk continuing life in quarantine and is joined by friends on FaceTime.
115,"Dylan, The Dead, and Despot",04/05/2020,"Dave Longstreth
The Kid Mero
Despot",—,"The ethos of the Dead, the Chunky Dunky, Dirty Projectors, ""Murder Most Foul"", Mero's world record, and the Unabomber."
116,Mask Off with Ed O'Brien and Jerry Saltz,04/12/2020,"Jerry Saltz
Ed O'Brien",—,"The McDonald's arches, Steak-umm Twitter, coffee, art, Phish, and John Prine."
117,In These Strange and Uncertain Times,04/19/2020,"Nathan Allebach
Brian Jones",—,"Making bad art, The Bellamy Brothers' ""Old Hippie"", Steak-umm's online voice, Chet Haze, *NSYNC, and Drake."
118,Old Wisdom with David Crosby and The Bellamy Brothers,04/26/2020,"The Bellamy Brothers
David Crosby",—,"TikTok, dining habits at the White House, hippies, Jim Morrison, and Neil Young."
119,It's Gonna Be May,05/03/2020,"Sam Kass
Brian Jones
Rashida Jones
Jia Tolentino",—,"Tree talk, White House cooking, No Strings Attached, and Sweetgreen."
120,HBD FOTB,05/10/2020,Steven Hyden,—,"Wind, basketball, the Strokes, GBV, and FOTB."
121,Classic Rock Talk,05/17/2020,Hank Azaria,—,"Red Lobster, American rock bands, and ""Big Blue""."
122,Cheese Pizza and Chili Peppers,05/24/2020,—,1977,"Aerosmith, Red Hot Chili Peppers, Chuck E. Cheese, and Jeff Bezos."
123,"Alex, Winter, and Mero",06/07/2020,"Alex Vitale
Winter
The Kid Mero",—,"Discussions on police brutality, protests, and racism."
124,The Lost Episode,06/14/2020,"Brendan Dunne
Jonah Hill
Aaron Olson",1985,"Beards, sneakers, Jersey Shore, and cars."
125,"What About Rage, Man?",06/21/2020,Jonah Weiner,1992,"You've Got Mail, Rage Against the Machine, and MTV Unplugged."
126,Bruce Hornsby,07/05/2020,Bruce Hornsby,1986,"Rats, DVDs, Reese's Cups, and Jerry Garcia."
127,Ben & Jerry's & Nike's,07/19/2020,Chris Miller,1978,"Stadium foods, Grateful Dead Nike Dunks, Ben & Jerry's, and TikTok songs."
128,With Danielle Haim,08/02/2020,Danielle Haim,—,"Mountain Brews, baseball cards, Sublime, and Taylor Swift."
129,Green Day and Yellow Mustard,08/16/2020,—,1994,"French's mustard beer, Green Day, cigars, and horny music."
130,TC Technology,08/30/2020,Brian Jones,2000,"TC book club, Whole Foods, boy bands, and guacamole technology."
131,Chaos and Candy,09/13/2020,"Tom O'Neill
Ryan Reiss",—,"The Dead, Crocs, Charles Manson, Reese's recipes, and McDonald's."
132,I Got What I Got and Floating Docks,09/27/2020,—,Country Streaming Charts,"The Travis Scott meal, RS's 500 Greatest Albums, the Dewgarita, and country music."
133,What About PA with Daniel Ralston,10/11/2020,Daniel Ralston,2008,"Van Halen, Jolly Ranchers, Hershey's, and TikTok."
134,Frederic Remmington: Cancelled,10/25/2020,"Uncle Ted
Spike Feresten",1995,"Kit Kats, Seinfeld, PT Cruisers, and ""Kiss from a Rose""."
135,Time Crisis Election Special,11/08/2020,"Aaron Olson
Hannah Fidell
Nick Robinson",—,"McRibs, Mountain Brews, and A Teacher."
136,Grateful Dead and Garfield Eats,11/22/2020,"Nathen Mazri
Bob Weir",—,"The Garfield restaurant, Bob Weir's personal history, and a ""Stan"" deep dive."
137,Kind Vibes with Cazzie David,12/06/2020,Cazzie David,1959,"KIND bars, Guitar Center, John Mayer, Lady Gaga Oreos, ""herm yarl"", and Bobby Darin."
138,With Rashida Jones and Winter,12/20/2020,"Winter
Rashida Jones",1992 Rock vs. R&B Charts,"Burritos, fast food marketing, Duck Donuts, and Bill Murray."
139,Herm Yarl: Origins,01/17/2021,"Dave Ferch
Jack Endino",Billboard's Alternative chart 1995,"""Yarling"", Furbys, PUSA, and snakes."
140,The Company Store,01/31/2021,—,1984,"New mic set-ups, Rush, ""harmonicagate"", Culture Club, and the suburbs."
141,Killer Hot Sauce and Iced Cold Coffee,02/14/2021,"Brandon Flowers
Ronnie Vannucci",2004,"Dunkin' Donuts, The Killers' hot sauce, ""The Ballad of Herm Yarl"", and Outkast."
142,With Robert M. Rosenberg and Chris Baio,02/28/2021,"Robert M. Rosenberg
Chris Baio",1963,"Dunkin' history, Ben Affleck, Stanley Tucci, and Scorsesian violence."
143,Fungible Sandwich Technology,03/14/2021,—,1965,"Hospital eats, the birth of Subway, NFTs, and the Beatles."
144,Certified Forklift Operator,03/28/2021,—,1981,"Commercial humor, forklifts, Bob Marley, and Acura."
145,Talking Dead Heads,04/11/2021,—,1986,"Oasis, This Is My House, David Byrne, and the cyclical nature of art."
146,Government Website,04/25/2021,—,Country hits of 1964,"Traffic, ""pre-boomer"" pandemic songs, country music, and granola."
147,Avoid The Noid,05/09/2021,—,1971,"Domino's, camouflage, Billy Joel, and the smooth sounds of the '70s."
148,Flamin’ Hot Chaos,05/23/2021,Max Weidenfeld,1990,"Richard Montañez, Veggie Straws, the Dead in Egypt, and Justin Bieber."
149,2221 What You Think About Me?,06/06/2021,—,—,"Microsoft music, U2's iTunes debacle, Olivia Rodrigo, and the future."
150,With Despot and Bruce Hornsby,06/20/2021,"Despot
Bruce Hornsby",—,"The history of the podcast, reincarnation, and chicken sandwiches."
151,Gentle Jesters,07/04/2021,—,1976,"Beer as a grocery item, vulgar graphic tees, kind-vibe pranks, and lots of music talk."
152,Country Stuff,07/18/2021,—,Top 5 on iTunes,"Yesterday for obscure hits, Aaron Lewis' Republican country music, and the cost of date night at Applebee's."
153,Sour Rock with Hannah Fidell,08/01/2021,Hannah Fidell,1989,"Olivia Rodrigo, the deluxe life, John Mayer's Sob Rock, and Batman."
154,The Dog Days of Summer,08/15/2021,—,—,"Neil Young disco hour, slang, and what the media released on your birthdays says about your life."
155,Do The Flamin' Hot Brew,08/29/2021,"Al Di
Carson Mell
Aaron Olson",1995 & 1965,"Tattoo You, Burger King investigative journalism, TC's soul movie, and Velveeta."
156,With Chromeo,09/12/2021,"Dave Macklovitch
Patrick Gemayel",RPM's Canadian Year End Chart 1995,"All things Quebec, the Lebanese military, '80s music, and Canadian hits."
157,The Gen X Top 5 Challenge,09/26/2021,Rashida Jones,1992 Rock vs. R&B Charts,"Medieval grunge, a private Rolling Stones gig, new ABBA singles, and Gen X hits."
158,Another Boat in the Dock,10/09/2021,Steve Dildarian,—,"All things Facebook and Instagram, Pink Floyd and licensing, the Budweiser Lizards, and boating."
159,Grateful Genres with Kelefa Sanneh,10/24/2021,Kelefa Sanneh,—,"Rock memorabilia auctions, wedding songs, musical genres, and Jake's takes."
160,NFT Week with Despot,11/07/2021,Despot,1981,"A TC retreat, Vampire Weekend at Outside Lands, post-Covid concerts, the McRib, NFTs, and '80s soft rock."
161,With Rod Stewart,11/21/2021,Rod Stewart,1969,"Crypto.com Arena, Rod Stewart's life and career, internal-only podcasts, and square 60's songs."
162,The TC Singularity,12/05/2021,—,The Beatles' Biggest Songs,"The Scorsese-directed Grateful Dead biopic, ultra-TC corporate food news topics, and The Beatles in Get Back."
163,With Tom Scharpling and Despot,12/19/2021,"Despot
Tom Sharpling","Top 3 Beatles ""Deep Cuts""","Yesterday for Guided By Voices, HBO's Chillin Island, New Jersey hot dogs, Humble Pie, and more Beatles talk."
164,The Four Quadrants of TC,01/09/2022,—,1990,"Toilet humor, ""Two-nil on your big day out"", HanxFit, whiskey, and Space Jam."
165,Sonic Simulations,01/23/2022,—,1981,"Noise music vs. jam bands, The Warlocks, The Matrix, and Bono's existential crisis."
166,Goldfish and Guitar Rriffs,02/06/2022,Johnny Marr,2003,"Novelty whiskey glasses, Johnny Marr's influences and career, Goldfish Mega Bites, and early 2000s hits."
167,Brown Haired Bands,02/20/2022,—,1989,"The Super Bowl, the key to Cincinnati, Eddie Vedder vs. Nikki Sixx, and the Red Hot Chili Peppers"
168,Hot Coffee and Cold Pop-Tarts,03/06/2022,—,1964,"Super Gremlins, menu hacks, Folgers coffee, Unfrosted, leftover refried beans, and pickle juice."
169,The TC Music Industry Special,03/20/2022,Morgan Lebus,1969,"Music catalog ownership, ASCAP, Mötley Crüe, biopics, and the hits of 1969."
170,Horsin' Around,04/03/2022,—,2006,"Horse meat, Flying Island, Michael Bolton, and how James Blunt prevented a third world war."
171,Hornsby On The Horn,04/16/2022,Bruce Hornsby,1988,"Illegal Chips, Denis Leary, Hornsby's song with Ezra, .38 Special, and fake VW tracks."
172,Dr. Tealgood,04/30/2022,"Rashida Jones
Daniel Ralston",1971,"BTS Freaky Friday, Doritos shrinkflation, AriZona iced tea, ""Dr. Feelgood"", bartending at the Oscars, and the hits of '71."
173,Welcome to the Jamily,05/14/2022,Alex Scordelis,1991,"Pearl Jam deep dive, whiskey, horse meat, Trump's ""November Rain"" fandom, and James Cromwell protests Starbucks."
174,TC: Fully Loaded,05/28/2022,—,1974,"Aged by Audio Cheez-Its, hip-hop, the Rock and Roll Hall of Fame, and a terrible Top Five."
175,TC: Unfiltered,06/11/2022,—,—,"Baked potatoes, pizza, Taco Bell, Primus, tap water, ""Moscow Rules"", and Kate Bush."
176,Extreme TC,06/25/2022,"Cazzie David
Winter
Despot",—,"Yard House, Elvis Presley, Extreme Elvis at SUNY Purchase, and 25 years of Starbucking."
177,Half Baked Potato,07/09/2022,—,Billboard's Modern Rock Tracks 2002 & 1995,"The Half Baked Potato, Larry Norman and Christian rock, and alternative rock hits from the weeks Ezra and Jake turned 18."
178,Bare Bones Buffets,07/23/2022,—,2009,"The Rock Hall, Mark Wahlberg Chevrolet, Don Henley's manuscripts, selling bones, Sizzler for the '90s, and recession-era pop."
179,Tangled Up in Brews,08/06/2022,—,—,"Guns N' Roses, Taylor Swift, Bruce Springsteen, Mountain Brews, and Bob Dylan's Greatest Hits Volume 3."
180,BDGHV3P2,08/20/2022,—,1994,"Schoolhouse Rock, middle period Dylan, John Lennon, and ""I Swear""."
181,False Fall,09/03/2022,—,2003,"Dylan, Springsteen, and The Clash, live ""Jokerman"" performances, the invention of the Pumpkin Spice Latte, Seinfeld's job at Tim Horton's, and Nick's internship at the Pentagon."
182,Pump It Up with Thomas Mars,09/17/2022,Thomas Mars,2000,"Italian food in Japan, Starbucks syrups, the Roasted Sweet Potato Frappuccino, French music, and American alternative rock."
